time,camera_id,people,workers,customers,counter_people,store_hall_people,global_workers
09:43:02.81,cam3,3,0,3,0,2,0
10:06:36.83,cam1,2,2,0,0,2,1
09:54:08.16,cam2,0,0,0,0,0,1
09:43:23.08,cam3,2,0,2,0,1,1
10:06:56.91,cam1,1,1,0,0,1,1
09:54:31.32,cam2,0,0,0,0,0,1
09:43:41.92,cam3,3,0,3,0,2,1
10:07:17.30,cam1,1,1,0,0,1,1
09:54:53.40,cam2,1,0,1,1,0,1
09:44:00.79,cam3,2,1,1,0,1,1
10:07:37.42,cam1,1,1,0,0,2,1
09:55:15.24,cam2,1,0,1,1,0,1
09:44:18.79,cam3,2,1,1,0,1,1
10:07:57.65,cam1,0,0,0,0,2,1
09:55:37.44,cam2,0,0,0,0,0,1
09:44:39.38,cam3,2,0,2,0,1,1
10:08:26.68,cam1,0,0,0,0,0,0
09:55:59.72,cam2,0,0,0,0,0,0
09:44:59.66,cam3,2,1,1,0,1,1
10:08:47.75,cam1,2,1,1,0,3,1
09:56:22.56,cam2,0,0,0,0,0,1
09:45:18.45,cam3,4,1,3,0,3,2
10:09:05.59,cam1,0,0,0,0,3,1
09:56:46.48,cam2,0,0,0,0,0,1
09:45:38.01,cam3,1,0,1,0,0,1
10:09:26.22,cam1,0,0,0,0,1,1
09:57:09.52,cam2,0,0,0,0,0,1
09:45:57.40,cam3,3,0,3,0,2,0
10:09:47.54,cam1,1,0,1,0,1,1
09:57:33.04,cam2,0,0,0,0,0,1
09:46:16.19,cam3,3,1,2,0,2,1
10:10:14.13,cam1,0,0,0,0,0,0
09:57:56.56,cam2,0,0,0,0,0,0
09:46:36.43,cam3,1,0,1,0,0,0
10:10:36.16,cam1,1,1,0,0,1,1
09:58:20.44,cam2,0,0,0,0,0,1
09:46:56.54,cam3,2,0,2,0,1,1
10:10:53.80,cam1,1,0,1,0,4,1
09:58:45.16,cam2,1,0,1,1,0,1
09:47:17.02,cam3,2,0,2,0,1,1
10:11:11.07,cam1,3,0,3,0,4,2
09:59:10.64,cam2,0,0,0,0,0,2
09:47:36.17,cam3,3,1,2,0,2,2
10:11:29.07,cam1,1,1,0,0,2,1
09:59:37.04,cam2,0,0,0,0,0,1
09:47:55.69,cam3,1,0,1,0,0,1
