time_start,time_end,camera_id,previous_state,new_state,duration_seconds,people_ids
09:31:50.68,09:31:52.12,cam2,staffed,unstaffed,1.44,
09:31:52.12,09:31:57.40,cam2,unstaffed,staffed,5.28,
09:31:57.40,09:31:58.48,cam2,staffed,unstaffed,1.08,
09:31:58.48,09:31:58.96,cam2,unstaffed,staffed,0.48,
09:31:58.96,09:32:01.60,cam2,staffed,unstaffed,2.64,w1
09:32:01.60,09:32:01.72,cam2,unstaffed,staffed,0.12,
09:32:01.72,09:32:01.96,cam2,staffed,unstaffed,0.24,
09:32:01.96,09:32:07.36,cam2,unstaffed,staffed,5.4,
09:32:07.36,09:32:08.20,cam2,staffed,unstaffed,0.84,
09:32:08.20,09:32:33.76,cam2,unstaffed,staffed,25.56,
09:32:33.76,09:32:33.88,cam2,staffed,unstaffed,0.12,
09:32:33.88,09:32:36.08,cam2,unstaffed,staffed,2.2,
09:32:36.08,09:32:37.40,cam2,staffed,unstaffed,1.32,
09:32:37.40,09:32:57.28,cam2,unstaffed,staffed,19.88,
09:32:57.28,09:32:57.52,cam2,staffed,unstaffed,0.24,
09:32:57.52,09:32:58.12,cam2,unstaffed,staffed,0.6,
09:32:58.12,09:33:04.24,cam2,staffed,unstaffed,6.12,w3
09:33:04.24,09:33:04.88,cam2,unstaffed,staffed,0.64,
09:33:04.88,09:33:10.28,cam2,staffed,unstaffed,5.4,w1
09:33:10.28,09:33:53.52,cam2,unstaffed,staffed,43.24,
09:33:53.52,09:33:55.68,cam2,staffed,unstaffed,2.16,
09:33:55.68,09:34:08.04,cam2,unstaffed,staffed,12.36,
09:34:08.04,09:34:12.64,cam2,staffed,unstaffed,4.6,w4
09:34:12.64,09:34:15.20,cam2,unstaffed,staffed,2.56,
09:34:15.20,09:34:17.40,cam2,staffed,unstaffed,2.2,
09:34:17.40,09:34:34.56,cam2,unstaffed,staffed,17.16,
09:34:34.56,09:34:36.12,cam2,staffed,unstaffed,1.56,
09:34:36.12,09:34:39.12,cam2,unstaffed,staffed,3.0,
09:34:39.12,09:34:40.80,cam2,staffed,unstaffed,1.68,
09:34:40.80,09:35:35.76,cam2,unstaffed,staffed,54.96,
09:35:35.76,09:35:37.08,cam2,staffed,unstaffed,1.32,
09:35:37.08,09:35:37.80,cam2,unstaffed,staffed,0.72,
09:35:37.80,09:35:37.92,cam2,staffed,unstaffed,0.12,
09:35:37.92,09:35:47.68,cam2,unstaffed,staffed,9.76,
09:35:47.68,09:36:02.52,cam2,staffed,unstaffed,14.84,w1
09:36:02.52,09:36:07.96,cam2,unstaffed,staffed,5.44,
09:36:07.96,09:36:08.44,cam2,staffed,unstaffed,0.48,
09:36:08.44,09:36:17.80,cam2,unstaffed,staffed,9.36,
09:36:17.80,09:36:17.92,cam2,staffed,unstaffed,0.12,
09:36:17.92,09:36:18.64,cam2,unstaffed,staffed,0.72,
09:36:18.64,09:36:18.76,cam2,staffed,unstaffed,0.12,
09:36:18.76,09:36:18.88,cam2,unstaffed,staffed,0.12,
09:36:18.88,09:36:19.36,cam2,staffed,unstaffed,0.48,
09:36:19.36,09:36:26.56,cam2,unstaffed,staffed,7.2,
09:36:26.56,09:36:26.92,cam2,staffed,unstaffed,0.36,
09:36:26.92,09:36:31.36,cam2,unstaffed,staffed,4.44,
09:36:31.36,09:36:31.84,cam2,staffed,unstaffed,0.48,
09:36:31.84,09:36:43.28,cam2,unstaffed,staffed,11.44,
09:36:43.28,09:36:43.64,cam2,staffed,unstaffed,0.36,
09:36:43.64,09:36:53.56,cam2,unstaffed,staffed,9.92,
09:36:53.56,09:36:56.84,cam2,staffed,unstaffed,3.28,
09:36:56.84,09:37:01.04,cam2,unstaffed,staffed,4.2,
09:37:01.04,09:37:01.56,cam2,staffed,unstaffed,0.52,
09:37:01.56,09:37:05.88,cam2,unstaffed,staffed,4.32,
09:37:05.88,09:37:07.48,cam2,staffed,unstaffed,1.6,
09:37:07.48,09:37:09.96,cam2,unstaffed,staffed,2.48,
09:37:09.96,09:37:11.20,cam2,staffed,unstaffed,1.24,
09:37:11.20,09:37:11.56,cam2,unstaffed,staffed,0.36,
09:37:11.56,09:37:12.76,cam2,staffed,unstaffed,1.2,
09:37:12.76,09:37:13.12,cam2,unstaffed,staffed,0.36,
09:37:13.12,09:37:13.24,cam2,staffed,unstaffed,0.12,
09:37:13.24,09:37:13.36,cam2,unstaffed,staffed,0.12,
09:37:13.36,09:37:13.72,cam2,staffed,unstaffed,0.36,
09:37:13.72,09:37:13.84,cam2,unstaffed,staffed,0.12,
09:37:13.84,09:37:14.08,cam2,staffed,unstaffed,0.24,
09:37:14.08,09:37:17.32,cam2,unstaffed,staffed,3.24,
09:37:17.32,09:37:17.44,cam2,staffed,unstaffed,0.12,
09:37:17.44,09:37:17.68,cam2,unstaffed,staffed,0.24,
09:37:17.68,09:37:20.32,cam2,staffed,unstaffed,2.64,
09:37:20.32,09:37:23.80,cam2,unstaffed,staffed,3.48,
09:37:23.80,09:37:30.40,cam2,staffed,unstaffed,6.6,w1
09:37:30.40,09:37:32.56,cam2,unstaffed,staffed,2.16,
09:37:32.56,09:37:36.04,cam2,staffed,unstaffed,3.48,w3
09:37:36.04,09:37:39.04,cam2,unstaffed,staffed,3.0,
09:37:39.04,09:37:39.52,cam2,staffed,unstaffed,0.48,
09:37:39.52,09:37:47.84,cam2,unstaffed,staffed,8.32,
09:37:47.84,09:37:48.08,cam2,staffed,unstaffed,0.24,
09:37:48.08,09:37:58.96,cam2,unstaffed,staffed,10.88,
09:37:58.96,09:37:59.08,cam2,staffed,unstaffed,0.12,
09:37:59.08,09:38:05.52,cam2,unstaffed,staffed,6.44,
